YEAR,PLAYER,POS,BODYÊFATÊ%,HANDÊLENGTHÊ(INCHES),HANDÊWIDTHÊ(INCHES),HEIGHTÊW/OÊSHOES,HEIGHTÊW/ÊSHOES,STANDINGÊREACH,WEIGHTÊ(LBS),WINGSPAN,LANEÊAGILITYÊTIMEÊ(SECONDS),SHUTTLEÊRUNÊ(SECONDS),THREEÊQUARTERÊSPRINTÊ(SECONDS),STANDINGÊVERTICALÊLEAPÊ(INCHES),MAXÊVERTICALÊLEAPÊ(INCHES),MAXÊBENCHÊPRESSÊ(REPETITIONS)
2020,Jalen McDaniels,SF,5.70%,9,10,6' 8.25'',6' 9.75'',8' 9.5'',191.6,7' 0.25'',11.54,3.23,3.32,29.5,33.5,0
2020,Ja Morant,PG,-%,-,-,,,,-,,-,-,-,-,-,-
2020,Zach Norvell Jr.,SG,7.50%,8.5,9.5,6' 4.5'',6' 5.5'',8' 5'',206.4,6' 6'',11.6,3.34,3.43,24,30,-
2020,Jaylen Nowell,SG,6.10%,8.25,8.5,6' 3.25'',6' 4.25'',8' 2'',202.4,6' 7.25'',10.76,3.13,3.23,32,38.5,2
2020,Jordan Nwora,PF,7.80%,8.5,9.25,6' 5.75'',6' 7.5'',8' 7'',220,6' 10.5'',-,-,-,-,-,-
2020,Chuma Okeke,,-%,-,-,,,,-,,-,-,-,-,-,-
2020,KZ Okpala,SF,4.60%,9.25,9.25,6' 7.25'',6' 9.5'',8' 10.5'',209.6,7' 1.75'',10.88,3.13,3.38,30.5,37,9
2020,Miye Oni,SG,4.90%,9,10,6' 4.25'',6' 5.75'',8' 4.5'',205.6,6' 10.75'',11.71,3.12,3.17,30.5,38.5,19
2020,Eric Paschall,SF,6.30%,9,9.5,6' 6'',6' 7.25'',8' 7.5'',254.4,6' 11.75'',11.63,3.26,3.3,33,38,18
2020,Reggie Perry,SF-PF,6.70%,9,10,6' 8'',6' 9.25'',8' 10'',250.8,7' 0.5'',12.46,3.4,3.3,28.5,31.5,15
